epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.5852,1.56652,4.43822,1.48146,0,0,0,0,1.77483,4.25451,1.49346,3.03e-06,3.03e-06,3.03e-06
2,41.7061,1.59313,4.51367,1.46527,0,0,0,0,1.71695,4.24342,1.4684,9.00001e-06,9.00001e-06,9.00001e-06
3,62.4365,1.52904,4.42321,1.4652,0,0,0,0,1.63939,4.22873,1.43091,1.485e-05,1.485e-05,1.485e-05
4,81.3542,1.40923,4.40198,1.417,0,0,0,0,1.52938,4.20559,1.37395,2.05801e-05,2.05801e-05,2.05801e-05
5,102.744,1.29192,4.44393,1.32306,0,0,0,0,1.37001,4.17184,1.28669,2.61901e-05,2.61901e-05,2.61901e-05
6,121.786,1.18508,4.31203,1.29265,0,0,0,0,1.24519,4.14963,1.22871,3.16802e-05,3.16802e-05,3.16802e-05
7,142.333,1.18573,4.34366,1.27525,0,0,0,0,1.11042,4.12812,1.16487,3.70502e-05,3.70502e-05,3.70502e-05
8,161.402,1.06471,4.20638,1.21439,0,0,0,0,1.04865,4.11994,1.13819,4.23003e-05,4.23003e-05,4.23003e-05
9,182.051,1.02644,4.30632,1.19717,0,0,0,0,1.03684,4.12087,1.13367,4.74304e-05,4.74304e-05,4.74304e-05
10,201.225,1.01393,4.23702,1.16131,0,0,0,0,0.99334,4.11512,1.11996,5.24405e-05,5.24405e-05,5.24405e-05
11,221.346,0.91084,4.17327,1.12325,0,0,0,0,0.9596,4.11637,1.10155,5.73306e-05,5.73306e-05,5.73306e-05
12,241.228,0.92434,4.16861,1.12029,0,0,0,0,0.92661,4.1248,1.09413,6.21008e-05,6.21008e-05,6.21008e-05
13,260.568,0.95041,4.08742,1.15394,0,0,0,0,0.88297,4.12331,1.08096,6.67509e-05,6.67509e-05,6.67509e-05
14,281.114,0.88408,4.06982,1.09878,0,0,0,0,0.85748,4.12184,1.07509,7.12811e-05,7.12811e-05,7.12811e-05
15,300.297,0.92903,4.02286,1.14596,0,0,0,0,0.84374,4.12319,1.06789,7.56912e-05,7.56912e-05,7.56912e-05
16,320.949,0.87667,4.02896,1.10052,0,0,0,0,0.83007,4.1175,1.05808,7.99814e-05,7.99814e-05,7.99814e-05
17,340.036,0.84075,3.99086,1.08313,0,0,0,0,0.85014,4.12367,1.06559,8.41516e-05,8.41516e-05,8.41516e-05
18,360.105,0.83032,3.93542,1.07608,0,0,0,0,0.85962,4.12178,1.06569,8.82018e-05,8.82018e-05,8.82018e-05
19,382.72,0.84841,3.77766,1.06134,0,0,0,0,0.84253,4.11216,1.06167,9.2132e-05,9.2132e-05,9.2132e-05
20,402.85,0.84216,3.7457,1.05059,0.11111,0.00741,0.05926,0.05333,0.8287,4.09595,1.06357,9.59422e-05,9.59422e-05,9.59422e-05
21,422.967,0.84083,3.75389,1.04005,0.22222,0.12593,0.17406,0.15332,0.8208,4.08737,1.0612,9.96325e-05,9.96325e-05,9.96325e-05
22,442.587,0.83557,3.55855,1.05248,0.30247,0.21481,0.26702,0.23544,0.8204,4.06694,1.0596,0.000103203,0.000103203,0.000103203
23,462.942,0.84326,3.52723,1.04512,0.29798,0.27407,0.29931,0.25377,0.82148,4.03104,1.05424,0.000106653,0.000106653,0.000106653
24,482.553,0.84545,3.46914,1.02355,0.43517,0.37037,0.43426,0.37432,0.81929,3.98617,1.05029,0.000109983,0.000109983,0.000109983
25,502.821,0.8882,3.37533,1.05681,0.42925,0.45185,0.486,0.42873,0.8185,3.92558,1.04115,0.000113194,0.000113194,0.000113194
26,522.083,0.92204,3.35841,1.06664,0.34368,0.46667,0.48071,0.43595,0.81369,3.85695,1.03333,0.000116284,0.000116284,0.000116284
27,542.659,0.86463,3.26626,1.03384,0.26393,0.45185,0.45001,0.4085,0.82497,3.77442,1.03576,0.000119254,0.000119254,0.000119254
28,561.809,0.85041,3.06771,1.03525,0.26393,0.45185,0.45001,0.4085,0.82497,3.77442,1.03576,0.000122104,0.000122104,0.000122104
29,581.599,0.89086,2.99376,1.06329,0.2616,0.47407,0.46573,0.43072,0.81302,3.65343,1.03425,0.000124835,0.000124835,0.000124835
30,601.852,0.89056,2.88094,1.07019,0.35146,0.5093,0.53245,0.46702,0.80809,3.50318,1.03586,0.000127445,0.000127445,0.000127445
31,621.264,0.8909,2.94632,1.04542,0.35146,0.5093,0.53245,0.46702,0.80809,3.50318,1.03586,0.000129935,0.000129935,0.000129935
32,641.761,0.8581,2.86096,1.0698,0.31187,0.55933,0.5401,0.48674,0.81771,3.32878,1.04485,0.000132306,0.000132306,0.000132306
33,661.463,0.88394,2.77369,1.0089,0.29395,0.61104,0.56948,0.50804,0.83763,3.1295,1.05477,0.000134556,0.000134556,0.000134556
34,681.123,0.8848,2.65397,1.05793,0.29395,0.61104,0.56948,0.50804,0.83763,3.1295,1.05477,0.000136687,0.000136687,0.000136687
35,700.357,0.91566,2.59113,1.07073,0.31007,0.68617,0.59954,0.53052,0.85467,2.90978,1.06614,0.000138697,0.000138697,0.000138697
36,719.568,0.83919,2.42886,1.05372,0.30833,0.72547,0.62155,0.54545,0.85265,2.69129,1.06526,0.000140587,0.000140587,0.000140587
37,740.161,0.85285,2.44476,1.05506,0.30833,0.72547,0.62155,0.54545,0.85265,2.69129,1.06526,0.000142358,0.000142358,0.000142358
38,759.815,0.91612,2.63456,1.03053,0.31229,0.75737,0.63,0.5591,0.87008,2.47294,1.06995,0.000144008,0.000144008,0.000144008
